gene	079_warmM	082_warmM	086_warmM	090_warmM	097_warmM	098_warmM	080_warmF	089_warmF	091_warmF	096_warmF
ENSMUSG00000041134	266	353	129	198	253	168	164	207	237	180
ENSMUSG00000112026	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000112027	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000075169	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000016921	2621	3936	1998	3286	2393	2201	1480	2017	2671	1818
ENSMUSG00000075168	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104884	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088147	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100237	12	6	4	4	10	14	4	11	24	7
ENSMUSG00000064923	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000014402	1091	1381	657	969	1029	899	637	651	997	781
ENSMUSG00000058603	6	19	9	7	11	14	6	8	14	11
ENSMUSG00000064927	2	5	1	1	2	0	0	1	1	0
ENSMUSG00000064926	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000058607	1	2	3	1	3	0	1	0	0	0
ENSMUSG00000090346	2	0	0	0	0	1	0	1	5	0
ENSMUSG00000064928	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000090341	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000090342	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000055401	519	752	403	525	424	309	283	503	706	408
ENSMUSG00000055403	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100235	15	27	16	27	12	8	14	20	14	19
ENSMUSG00000050435	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000055408	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000055409	2	0	0	0	0	0	1	0	1	0
ENSMUSG00000050439	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101570	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000115559	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000115558	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000115551	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000115550	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000115553	0	1	6	2	0	1	0	1	1	1
ENSMUSG00000115552	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000115555	5	3	5	4	4	5	0	6	4	4
ENSMUSG00000115554	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000115557	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000115556	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051527	0	0	0	0	0	1	0	0	0	3
ENSMUSG00000095562	1	1	2	0	1	0	0	0	0	3
ENSMUSG00000051528	0	0	0	0	0	0	0	0	0	0
