gene	078_coldM	083_coldM	088_coldM	093_coldM	095_coldM	099_coldM	081_coldF	084_coldF	085_coldF	087_coldF	092_coldF	094_coldF
ENSMUSG00000027215	1788	1160	1253	1279	2152	1017	1527	1000	1528	1459	1186	1836
ENSMUSG00000077545	0	0	0	0	0	0	1	0	0	0	0	1
ENSMUSG00000077547	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077546	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077541	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077543	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077542	0	0	0	2	1	0	0	0	0	0	0	0
ENSMUSG00000095108	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084682	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084683	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084684	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084686	1	1	4	1	2	0	1	1	0	3	7	4
ENSMUSG00000084688	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000006179	0	0	0	0	2	0	0	0	0	4	0	0
ENSMUSG00000095103	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000095102	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000095105	6	3	3	7	10	4	13	10	8	9	8	11
ENSMUSG00000095104	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000095107	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098083	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098082	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098081	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098080	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098087	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026848	1109	843	797	1094	1452	653	1023	660	945	901	1202	1266
ENSMUSG00000098085	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098084	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000043263	21	16	16	18	20	30	32	12	39	30	28	19
ENSMUSG00000043262	440	266	337	376	449	355	421	263	428	370	320	428
ENSMUSG00000098089	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098088	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000043267	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000080590	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000080592	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000080594	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000080595	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000080596	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000080597	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000108627	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026842	992	718	803	840	1307	769	1078	689	1192	1107	775	1132
ENSMUSG00000035278	348	291	236	221	348	183	347	211	319	282	253	332
ENSMUSG00000068122	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000034435	1290	1024	1016	1015	1509	1010	1652	980	1507	1529	1099	1604
ENSMUSG00000034437	11	4	4	2	1	2	5	4	9	3	4	6
ENSMUSG00000034430	358	339	267	225	350	273	362	189	350	321	315	363
ENSMUSG00000034432	648	521	443	446	595	427	692	398	599	533	497	573
ENSMUSG00000083488	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083487	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083486	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083485	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000083484	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000034438	68	62	92	83	103	89	122	76	168	146	50	77
ENSMUSG00000083482	0	1	0	0	0	1	2	1	0	0	1	0
ENSMUSG00000083481	1	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000074011	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102912	4	2	0	1	8	0	1	0	5	3	0	2
ENSMUSG00000108621	956	639	739	704	812	1060	884	612	1007	1004	676	772
ENSMUSG00000113493	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100628	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068129	0	1	0	5	2	1	3	0	2	0	1	6
ENSMUSG00000087908	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087909	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087904	14	10	8	11	17	24	4	0	2	2	6	7
ENSMUSG00000087905	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087902	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087903	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000108620	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112984	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000114751	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113490	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000053914	1	1	2	0	2	1	3	0	3	0	5	2
ENSMUSG00000053916	1	1	2	4	4	1	2	1	2	3	0	5
ENSMUSG00000017723	143	75	57	47	44	80	52	27	49	41	26	48
ENSMUSG00000017721	2094	1290	1382	1428	2418	1433	1842	1043	1558	1412	1230	2080
ENSMUSG00000017720	1	4	3	2	5	1	5	1	3	2	4	2
ENSMUSG00000112981	0	2	1	0	0	0	0	1	1	0	0	0
ENSMUSG00000017724	5	1	3	2	1	2	7	1	3	2	4	4
ENSMUSG00000009356	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000009350	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000115179	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110899	10	5	9	19	25	11	8	8	15	15	19	19
ENSMUSG00000116922	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110898	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000015474	456	304	253	232	395	224	451	239	394	335	293	371
ENSMUSG00000015476	8	13	14	16	12	8	13	9	18	16	8	14
ENSMUSG00000078816	3	7	0	3	11	1	7	2	2	2	1	3
ENSMUSG00000078817	16	14	16	77	80	84	32	0	82	1	61	73
ENSMUSG00000078815	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000078812	9978	6076	5954	5639	9525	5213	7645	4852	7048	6499	6625	7590
ENSMUSG00000015478	1025	582	586	771	1358	313	827	486	801	703	796	860
ENSMUSG00000078810	0	0	0	1	1	0	2	0	0	0	0	0
ENSMUSG00000099758	0	0	0	0	0	2	0	0	0	0	0	0
ENSMUSG00000099759	2	7	0	11	4	12	4	8	16	13	13	19
ENSMUSG00000110894	0	0	0	0	0	0	0	1	1	0	0	1
ENSMUSG00000048787	354	316	243	258	405	202	361	183	321	258	335	303
ENSMUSG00000099750	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099751	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099752	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099753	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099754	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099755	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099756	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099757	11	8	7	5	17	7	21	9	11	7	7	17
ENSMUSG00000098479	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050296	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000075165	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050295	5	3	3	1	2	2	5	1	4	2	3	2
ENSMUSG00000093509	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000075164	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093507	5	6	4	3	5	3	5	6	9	9	3	8
ENSMUSG00000093505	1	0	1	2	1	0	0	0	0	0	0	0
ENSMUSG00000093504	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093503	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093502	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050299	25	18	27	38	38	23	18	17	17	20	42	27
ENSMUSG00000075166	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097619	0	0	0	0	2	0	0	3	0	1	0	0
ENSMUSG00000097617	2	10	6	6	9	4	15	3	12	6	7	16
ENSMUSG00000075161	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097615	64	65	43	39	80	57	74	35	55	49	50	46
ENSMUSG00000097613	0	4	2	4	5	1	5	2	3	8	5	6
ENSMUSG00000097612	0	0	0	0	0	0	1	0	0	1	0	0
ENSMUSG00000100231	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000075160	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000075163	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081038	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112028	24	21	17	23	42	19	10	2	8	4	3	6
ENSMUSG00000041138	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112020	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041130	2296	2055	1877	1752	2887	1519	2605	1598	2363	2244	1891	2496
ENSMUSG00000041133	2304	1390	1542	1113	1807	1861	1790	989	1578	1559	1181	1174
ENSMUSG00000041132	2329	1388	1521	1364	2136	1787	2123	2036	3130	2226	1727	1987
ENSMUSG00000041135	124	97	111	103	108	118	153	105	176	167	139	152
ENSMUSG00000041134	259	158	186	162	261	197	281	129	204	216	164	195
ENSMUSG00000112026	0	0	0	0	0	0	0	0	0	2	0	0
ENSMUSG00000112027	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000075169	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000016921	2670	2325	2324	2176	2930	2330	2761	1745	2528	2373	2216	2035
ENSMUSG00000075168	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104884	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088147	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100237	2	0	3	10	7	9	9	9	13	13	7	13
ENSMUSG00000064923	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000014402	1188	771	773	826	1070	937	999	525	827	790	719	930
ENSMUSG00000058603	18	4	4	15	8	11	10	5	8	6	9	10
ENSMUSG00000064927	0	1	2	2	3	0	2	0	8	4	2	4
ENSMUSG00000064926	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000058607	0	2	0	1	2	0	2	0	3	1	0	1
ENSMUSG00000090346	4	0	1	0	2	0	0	1	0	1	0	0
ENSMUSG00000064928	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000090341	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000090342	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000055401	523	329	352	373	607	355	503	315	509	435	346	503
ENSMUSG00000055403	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100235	10	13	11	14	12	9	34	5	16	13	25	18
ENSMUSG00000050435	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000055408	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000055409	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050439	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101570	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000115559	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000115558	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000115551	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000115550	1	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000115553	0	4	0	2	3	1	1	0	4	2	2	1
ENSMUSG00000115552	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000115555	2	3	2	2	2	1	4	1	5	6	4	5
ENSMUSG00000115554	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000115557	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000115556	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051527	0	0	1	1	0	0	0	1	0	1	0	0
ENSMUSG00000095562	1	1	0	0	2	0	2	0	2	1	3	0
ENSMUSG00000051528	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000109165	7	14	3	6	6	8	13	4	16	4	9	6
ENSMUSG00000109164	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000109167	0	0	0	0	1	0	0	0	1	0	0	0
ENSMUSG00000109166	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000109161	0	0	0	2	0	0	0	0	0	1	0	0
ENSMUSG00000109160	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000109163	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000109162	0	1	3	2	0	3	1	1	3	2	0	1
ENSMUSG00000109169	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000109168	0	0	0	0	0	0	0	0	0	0	0	0
