"" "log2FoldChange" "padj" "log2FoldChange" "padj" "padj" Amb&Conserved
"ENSMUSG00000002550" 0.291402092028809 0.14160357828853 0.847191283058318 0.0900923591766891 0.686021046279195 Amb&Conserved
"ENSMUSG00000002602" 0.175440599142425 0.321772266269496 0.10466883832056 0.863397537903832 0.951395544594317 Amb&Conserved
"ENSMUSG00000002625" -0.0236903286085814 0.918125771178579 0.231977765174677 0.484372629205235 0.519152707839537 Amb&Conserved
"ENSMUSG00000002635" 0.0237200289053982 0.902834967690169 -0.245860607170982 0.696836484290298 0.745241086028082 Amb&Conserved
"ENSMUSG00000002668" -0.810293440189917 3.04752589361788e-08 -0.691809429874542 0.0707925691302697 0.99544418740818 Amb&Conserved
"ENSMUSG00000002728" -0.18833214936504 0.1814130275131 -0.090173112234315 0.869636825388055 0.982134204121935 Amb&Conserved
"ENSMUSG00000002741" -0.014217924930646 0.935154016789867 -0.00360828945764065 0.994077316475634 0.907285673101161 Amb&Conserved
"ENSMUSG00000002748" 0.206880481106534 0.100147684685438 -0.22336054938157 0.527876354981154 0.0428817967109014 Amb&Conserved
"ENSMUSG00000002797" -0.196835186787563 0.313323811126509 -0.100397559310195 0.877878869099987 1 Amb&Conserved
"ENSMUSG00000002803" -0.230400457561693 0.169066510615189 0.426787562764237 0.696538889094852 0.69352335829278 Amb&Conserved
"ENSMUSG00000002812" 0.302567301703616 0.000357468692897799 0.332179361696655 0.215360505150998 0.985837122436151 Amb&Conserved
"ENSMUSG00000002814" 0.265745756329406 0.0443251927973802 0.0682970273205629 0.948053031240932 0.912000009059539 Amb&Conserved
"ENSMUSG00000002820" -0.199190505225931 0.245345730181269 0.0882536120246175 0.769274622048963 0.517921899247766 Amb&Conserved
"ENSMUSG00000002844" -0.441900506236181 0.0119179122923679 -0.173364241207718 0.832277131987881 0.896011458814159 Amb&Conserved
"ENSMUSG00000002846" -0.17716279460395 0.279932136183689 -0.285886950682086 0.0272015583848159 0.626980328709001 Amb&Conserved
"ENSMUSG00000002870" 0.689826155145725 0.0018999426573706 0.258984507823705 0.732719796253815 0.566731472486418 Amb&Conserved
"ENSMUSG00000002871" -0.105281360761521 0.589722300960227 -0.201630948608484 0.696457914761361 0.851837281847164 Amb&Conserved
"ENSMUSG00000002881" -0.385144864716451 0.000598766641980864 -0.168921378085161 0.555711166159991 0.605670687643853 Amb&Conserved
"ENSMUSG00000002885" -0.0268482589035796 0.885041020368046 -0.123506145814573 0.8042319906148 0.921043515167835 Amb&Conserved
"ENSMUSG00000002897" 0.254182688953805 0.0290602999329822 0.0396379911652506 0.965779439547479 0.599186804922728 Amb&Conserved
"ENSMUSG00000002900" 0.36816101825272 0.00977584006190471 -0.0593402355703225 0.907629734313586 0.467381345797358 Amb&Conserved
"ENSMUSG00000002944" 0.611634094221352 0.420156287434693 0.923202280926893 4.57134430121848e-19 0.312305598790719 Amb&Conserved
"ENSMUSG00000002949" -0.0653810362589379 0.486307558729778 0.048903049067485 0.803163081236948 0.812852442881396 Amb&Conserved
"ENSMUSG00000002957" 0.025624215391645 0.881798958726716 0.0443821841031775 0.879332187193044 0.945118950366368 Amb&Conserved
"ENSMUSG00000002981" 0.0987702468678529 0.380356076466563 0.22391744841238 0.00284969561475884 0.718062153155781 Amb&Conserved
"ENSMUSG00000003031" 0.101203038945687 0.495149422890942 -0.514583055951888 0.251301066396582 0.170164762107385 Amb&Conserved
"ENSMUSG00000003033" 0.00329094299349903 0.98514849579817 -0.211233640472483 0.398809505947021 0.268793303396664 Amb&Conserved
"ENSMUSG00000003039" 0.122509100671751 0.329670308965251 -0.489742846513725 0.223934525319105 0.038660735016563 Amb&Conserved
"ENSMUSG00000003062" -0.508962534779359 0.00198550868494525 0.138824675673714 0.797834336433565 0.298620225431731 Amb&Conserved
"ENSMUSG00000003068" 0.146306420160274 0.232637740373311 -0.0735066655637829 0.761725015331804 0.119796221376233 Amb&Conserved
"ENSMUSG00000003131" 0.229394330933782 0.0409092522134748 -0.00331086602092397 0.990868336509534 0.212397002299227 Amb&Conserved
