"" "log2FoldChange" "padj" "log2FoldChange" "padj" "liverpvals_coldmale_adj" Amb&Conserved
"ENSMUSG00000001348" -0.303842010741047 1.85084532124433e-05 -0.253486275689526 0.220125527517185 0.982741807560073 Amb&Conserved
"ENSMUSG00000001366" 0.0700693752350375 0.484114335616081 0.0591281852852212 0.831138820035557 0.945769461289149 Amb&Conserved
"ENSMUSG00000001380" 0.146797464691942 0.306247431281768 0.729393849596465 0.474486413321318 0.38754106649433 Amb&Conserved
"ENSMUSG00000001415" -0.162945437603615 0.122664626994604 -0.650158259582285 0.545610825360979 0.719451287867124 Amb&Conserved
"ENSMUSG00000001418" -0.109712895032113 0.189945366035847 -0.257217068394083 0.46622242725046 0.736675437809081 Amb&Conserved
"ENSMUSG00000001419" 0.024951410469785 0.893554544859888 0.561098355053959 0.400349370814866 0.664243484483075 Amb&Conserved
"ENSMUSG00000001420" 0.278752812876013 0.29060079847763 0.788668975797523 0.150731534543146 0.802739611366943 Amb&Conserved
"ENSMUSG00000001424" -0.130317965412663 0.351439798536154 -0.145095908307251 0.474486413321318 0.854713552370642 Amb&Conserved
"ENSMUSG00000001436" 0.105579745486952 0.653264047430155 0.276546765611584 0.364622053472716 0.931415829381281 Amb&Conserved
"ENSMUSG00000001441" 0.0955405250841909 0.378190374358656 -0.200862153401811 0.663800484909192 0.587113456240576 Amb&Conserved
"ENSMUSG00000001445" -0.350916628658461 0.000603724034530596 -0.221161794703851 0.760971095342031 0.987310594967422 Amb&Conserved
"ENSMUSG00000001472" -0.15583585723694 0.0308011350497477 -0.0357719321478013 0.901542982871762 0.764775897813844 Amb&Conserved
"ENSMUSG00000001473" 0.558204135531913 0.00420583895163533 0.588262518632729 0.176331842100712 1 Amb&Conserved
"ENSMUSG00000001506" 1.00455049105204 2.15066756462122e-06 0.147091307545587 0.903251099322579 0.560075613586101 Amb&Conserved
"ENSMUSG00000001521" 0.246323031855345 0.365656874105276 -0.0973723467824265 0.926961388706289 0.8203442960227 Amb&Conserved
"ENSMUSG00000001524" 0.0754669536995544 0.64036249733213 -0.249783186698246 0.304420632446879 0.445197467276473 Amb&Conserved
"ENSMUSG00000001525" -0.230692803873903 0.156458511081734 -0.134650613642559 0.842940089244036 0.981216686962404 Amb&Conserved
"ENSMUSG00000001542" 0.181691116117669 0.18870382697313 0.286273338248699 0.293661495722945 0.865681944520856 Amb&Conserved
"ENSMUSG00000001552" 0.356530076767899 0.000103538767081052 0.175376736236164 0.734100218897315 0.70890014735823 Amb&Conserved
"ENSMUSG00000001569" 0.475135324567038 2.59866421867487e-08 0.250559553548315 0.137983691215747 0.283058077707829 Amb&Conserved
"ENSMUSG00000001630" -0.0101704080473151 0.962574051279988 0.0929238701859161 0.865892247101513 0.925303260871395 Amb&Conserved
"ENSMUSG00000001632" -0.0200997507266049 0.925044839061993 -0.430170878199112 0.397446834422019 0.513355419849388 Amb&Conserved
"ENSMUSG00000001642" -0.110521186075608 0.712257935667574 -0.219168412763756 0.755412658202303 0.997050325705212 Amb&Conserved
"ENSMUSG00000001665" -0.201638370770098 0.232627288809639 0.188520440664305 0.0994291654196581 7.16055290620256e-06 Amb&Conserved
"ENSMUSG00000001707" -0.334577699775272 0.023998432270235 -1.08441388135871 0.208366107064609 0.163508473207636 Amb&Conserved
"ENSMUSG00000001751" -0.12090468201049 0.423734545242065 0.194754874288127 0.697124557390835 0.656966704616469 Amb&Conserved
"ENSMUSG00000001767" -0.0764196316905118 0.59995459582799 -0.423290486124301 0.0232696067103081 0.158836569999198 Amb&Conserved
"ENSMUSG00000001768" 0.14736400912564 0.38998477183318 0.276003438436251 0.396914690558915 0.987449329519356 Amb&Conserved
"ENSMUSG00000001774" -0.104207495900166 0.609241451582668 -0.741262599084843 0.0581337962658841 0.047470585534288 Amb&Conserved
"ENSMUSG00000001783" 0.00984915914073645 0.960205107709595 -0.168012537639537 0.428119400019398 0.353450043017414 Amb&Conserved
"ENSMUSG00000001785" 0.2652882251918 0.0141747352999001 -0.0659362556300815 0.816889534579133 0.321532098032876 Amb&Conserved
"ENSMUSG00000001829" 0.287511186082621 0.00150062454357032 0.826447206268489 0.0857935795355333 0.640265590989749 Amb&Conserved
"ENSMUSG00000001844" -0.153459177962 0.315682657056397 0.232114682412453 0.289330290199897 0.480084958042944 Amb&Conserved
"ENSMUSG00000001847" 0.137696706663637 0.123456195834552 0.231601565196664 0.273709623250118 0.992408183751659 Amb&Conserved
"ENSMUSG00000001855" 0.0700694312768444 0.697725108371674 0.0866525355394216 0.821949429793156 0.976297354954282 Amb&Conserved
"ENSMUSG00000001870" 0.504117711519094 0.00676319120822544 0.18117092788396 0.858299940373775 0.741875945931563 Amb&Conserved
"ENSMUSG00000001891" 0.485428089077529 2.1788004628712e-05 0.11201880209776 0.923474978089912 0.590927974235071 Amb&Conserved
"ENSMUSG00000001911" 0.0532416699099162 0.793874040743307 -0.412319520569134 0.297402165812392 0.135414995609053 Amb&Conserved
"ENSMUSG00000001930" 0.312768378238815 0.136657355240201 0.338371647808883 0.32718304243844 1 Amb&Conserved
"ENSMUSG00000001942" 0.0246265765730431 0.829912169742299 0.0395188205202333 0.910700736879448 0.984112981949701 Amb&Conserved
"ENSMUSG00000001943" 0.281520208276663 0.549640850224711 0.210507073423181 0.851957948519178 0.96368948104616 Amb&Conserved
"ENSMUSG00000001946" -0.0855156341671517 0.638025696841528 -1.18776216841324 0.0486290202588885 0.191728194324804 Amb&Conserved
"ENSMUSG00000001995" -1.03427221605988 8.83280595046158e-12 -0.0532842649949606 0.938820170458814 0.0871568774655347 Amb&Conserved
"ENSMUSG00000001998" 0.459421681349151 0.0050677254563372 0.0664709144452641 0.901205699951802 0.502368298997223 Amb&Conserved
"ENSMUSG00000001999" -0.356019282774944 0.0503849622136452 -0.392105507201543 0.0564594754928798 0.923827852626198 Amb&Conserved
"ENSMUSG00000002020" 0.0388288716509945 0.941525808337321 -0.539510169046147 0.624381327017533 0.964042288895212 Amb&Conserved
"ENSMUSG00000002028" 0.220724481832612 0.326802671018878 -0.0101545412328438 0.971633112297835 0.193752716829435 Amb&Conserved
"ENSMUSG00000002052" 0.125968834289346 0.269128007595234 -0.0564128445713756 0.833134991668959 0.350390722217122 Amb&Conserved
